id,brand_id,cached_brand,name,content,creator_id,phantom,created_at,updated_at,slang,from,to,preview
90,50,HYUNDAI,HD,,,,2014-10-12 04:27:47.276894,2014-10-12 04:27:47.276894,,,,
91,50,HYUNDAI,SANTA,,,,2014-10-12 04:28:00.039844,2014-10-12 04:28:00.039844,,,,
92,49,INFINITI,EX35,,,,2014-10-12 04:29:27.158247,2014-10-12 04:29:27.158247,,,,
93,49,INFINITI,FX35,,,,2014-10-12 04:29:28.365008,2014-10-12 04:29:28.365008,,,,
94,49,INFINITI,FX45,,,,2014-10-12 04:29:33.135885,2014-10-12 04:29:33.135885,,,,
95,49,INFINITI,M35,,,,2014-10-12 04:29:46.088254,2014-10-12 04:29:46.088254,,,,
96,49,INFINITI,QX56,,,,2014-10-12 04:29:55.275783,2014-10-12 04:29:55.275783,,,,
97,45,JEEP,GRAND,,,,2014-10-12 04:30:01.608765,2014-10-12 04:30:01.608765,,,,
98,44,KIA,BORREGO,,,,2014-10-12 04:30:14.929502,2014-10-12 04:30:14.929502,,,,
99,44,KIA,PAMAX,,,,2014-10-12 04:30:42.544004,2014-10-12 04:30:42.544004,,,,
100,1377,LAND ROVER,RANGE,,2708406,,2014-10-12 04:31:33.24269,2015-02-11 18:31:17.479922,,,,
101,39,LEXUS,GS30,,,,2014-10-12 04:32:10.710224,2014-10-12 04:32:10.710224,,,,
102,39,LEXUS,GX470,,,,2014-10-12 04:32:10.88408,2014-10-12 04:32:10.88408,,,,
103,39,LEXUS,IS200,,,,2014-10-12 04:32:11.669197,2014-10-12 04:32:11.669197,,,,
104,39,LEXUS,IS250,,,,2014-10-12 04:32:12.085954,2014-10-12 04:32:12.085954,,,,
105,39,LEXUS,LS400,,,,2014-10-12 04:32:13.686673,2014-10-12 04:32:13.686673,,,,
106,39,LEXUS,LS430,,,,2014-10-12 04:32:18.747025,2014-10-12 04:32:18.747025,,,,
107,39,LEXUS,LS460,,,,2014-10-12 04:32:20.50164,2014-10-12 04:32:20.50164,,,,
108,39,LEXUS,RX270,,,,2014-10-12 04:32:27.74963,2014-10-12 04:32:27.74963,,,,
109,39,LEXUS,RX300,,,,2014-10-12 04:32:31.886577,2014-10-12 04:32:31.886577,,,,
110,39,LEXUS,RX330,,,,2014-10-12 04:32:32.684865,2014-10-12 04:32:32.684865,,,,
111,38,MAZDA,B2500,,,,2014-10-12 04:35:20.981354,2014-10-12 04:35:20.981354,,,,
112,38,MAZDA,BT,,,,2014-10-12 04:35:27.812748,2014-10-12 04:35:27.812748,,,,
113,38,MAZDA,CX,,,,2014-10-12 04:35:43.016161,2014-10-12 04:35:43.016161,,,,
114,38,MAZDA,E2000,,,,2014-10-12 04:36:11.876659,2014-10-12 04:36:11.876659,,,,
115,38,MAZDA,RX,,,,2014-10-12 04:36:30.810688,2014-10-12 04:36:30.810688,,,,
116,38,MAZDA,XEDOS,,,,2014-10-12 04:36:47.010483,2014-10-12 04:36:47.010483,,,,
117,56,MERCEDES-BENZ,ML,,2708406,,2014-10-12 04:36:53.597127,2015-02-11 18:19:28.456982,,,,
118,56,MERCEDES-BENZ,E,,2708406,,2014-10-12 04:36:54.639615,2015-02-11 18:19:28.54403,,,,
119,56,MERCEDES-BENZ,S,,2708406,,2014-10-12 04:36:55.042691,2015-02-11 18:19:28.584984,,,,
120,56,MERCEDES-BENZ,G,,2708406,,2014-10-12 04:36:55.797905,2015-02-11 18:19:28.603657,,,,
121,56,MERCEDES-BENZ,A,,2708406,,2014-10-12 04:36:58.350326,2015-02-11 18:19:28.607859,,,,
122,56,MERCEDES-BENZ,C,,2708406,,2014-10-12 04:36:58.885984,2015-02-11 18:19:28.611986,,,,
123,56,MERCEDES-BENZ,GLK,,2708406,,2014-10-12 04:37:01.517982,2015-02-11 18:19:28.616536,,,,
124,56,MERCEDES-BENZ,R,,2708406,,2014-10-12 04:37:22.609486,2015-02-11 18:19:28.627228,,,,
125,55,MINI,R55,,,,2014-10-12 04:37:38.816748,2014-10-12 04:37:38.816748,,,,
126,54,MITSUBISHI,CANTER,,,,2014-10-12 04:37:42.290524,2014-10-12 04:37:42.290524,,,,
127,54,MITSUBISHI,L400,,,,2014-10-12 04:40:08.989163,2014-10-12 04:40:08.989163,,,,
133,8,NISSAN,X,,,,2014-10-12 04:54:59.748635,2014-10-12 04:54:59.748635,,,,
134,53,OPEL,FRONTERA,,,,2014-10-12 04:55:45.427433,2014-10-12 04:55:45.427433,,,,
135,1380,ŠKODA,FABIA,,,,2014-10-12 04:56:48.941294,2014-10-12 04:56:48.941294,,,,
136,1380,ŠKODA,OCTAVIA,,,,2014-10-12 04:56:52.19365,2014-10-12 04:56:52.19365,,,,
137,1380,ŠKODA,SUPERB,,,,2014-10-12 04:57:10.768788,2014-10-12 04:57:10.768788,,,,
138,61,SSANGYONG,NEW,,,,2014-10-12 04:57:17.240964,2014-10-12 04:57:17.240964,,,,
139,60,SUBARU,PLUG,,,,2014-10-12 04:58:49.084242,2014-10-12 04:58:49.084242,,,,
140,68,SUZUKI,GRAND,,,,2014-10-12 04:59:16.315156,2014-10-12 04:59:16.315156,,,,
141,1958,FETCH,MODEL,,,,2014-10-12 05:39:37.782949,2014-10-12 05:39:37.782949,,,,
142,68,SUZUKI,WAGON,,,,2014-10-12 05:42:58.497113,2014-10-12 05:42:58.497113,,,,
144,58,TOYOTA,FJ,,,,2014-10-12 05:45:08.654311,2014-10-12 05:45:08.654311,,,,
146,58,TOYOTA,LAND,,,,2014-10-12 05:45:43.819235,2014-10-12 05:45:43.819235,,,,
151,58,TOYOTA,MARK,,,,2014-10-12 05:46:34.27943,2014-10-12 05:46:34.27943,,,,
156,70,VOLVO,S40,,,,2014-10-12 05:47:41.538883,2014-10-12 05:47:41.538883,,,,
157,70,VOLVO,S80,,,,2014-10-12 05:47:43.447155,2014-10-12 05:47:43.447155,,,,
158,1377,LAND ROVER,Discovery 3,,4807810,t,2014-10-16 04:57:06.790899,2014-10-16 04:57:06.790899,,,,
159,8,NISSAN,Sunny,"",2708406,f,2015-01-05 12:13:32.00114,2015-01-05 12:21:35.087593,Санни,,,
160,8,NISSAN,Altima,"",2708406,f,2015-01-05 12:28:01.2139,2015-01-09 08:49:48.949556,Альтима,,,
161,8,NISSAN,Bluebird,"",2708406,f,2015-01-05 14:05:10.84713,2015-01-05 14:05:10.84713,Блюберд,,,
162,8,NISSAN,Bluebird Sylphy,"",2708406,f,2015-01-05 14:08:39.061077,2015-01-05 14:08:39.061077,Блюберд Силфи,,,
163,8,NISSAN,Cefiro,"",2708406,f,2015-01-05 14:11:30.680044,2015-01-05 14:11:30.680044,Цефиро,,,
164,8,NISSAN,Pulsar,"",2708406,f,2015-01-05 14:46:18.087068,2015-01-05 14:46:18.087068,Пульсар,,,
165,49,INFINITI,EX37,,2708406,t,2015-01-05 21:12:21.360283,2015-01-05 21:12:21.360283,,,,
166,8,NISSAN,Wingroad,"",2708406,f,2015-01-06 00:37:23.794006,2015-01-06 00:37:23.794006,Вингроуд,,,
167,8,NISSAN,Almera Tino,"",2708406,f,2015-01-06 03:28:17.388843,2015-01-09 13:38:24.914982,Альмера Тино,,,
8213,1635,UAZ,2206,,,f,2014-03-31 20:41:47.533298,2014-03-31 20:41:47.533298,,,,
8214,1635,UAZ,3151,,,f,2014-03-31 20:41:47.588664,2014-03-31 20:41:47.588664,,,,
8215,1635,UAZ,31512,,,f,2014-03-31 20:41:47.594837,2014-03-31 20:41:47.594837,,,,
8216,1635,UAZ,31514,,,f,2014-03-31 20:41:47.600284,2014-03-31 20:41:47.600284,,,,
8217,1635,UAZ,31519,,,f,2014-03-31 20:41:47.604698,2014-03-31 20:41:47.604698,,,,
8218,1635,UAZ,3153,,,f,2014-03-31 20:41:47.609089,2014-03-31 20:41:47.609089,,,,
8219,1635,UAZ,3159,,,f,2014-03-31 20:41:47.613623,2014-03-31 20:41:47.613623,,,,
8220,1635,UAZ,3160,,,f,2014-03-31 20:41:47.618027,2014-03-31 20:41:47.618027,,,,
8221,1635,UAZ,3162,,,f,2014-03-31 20:41:47.6225,2014-03-31 20:41:47.6225,,,,
8222,1635,UAZ,3303,,,f,2014-03-31 20:41:47.626749,2014-03-31 20:41:47.626749,,,,
8223,1635,UAZ,3741,,,f,2014-03-31 20:41:47.631087,2014-03-31 20:41:47.631087,,,,
8224,1635,UAZ,3909,,,f,2014-03-31 20:41:47.635297,2014-03-31 20:41:47.635297,,,,
8225,1635,UAZ,39094,,,f,2014-03-31 20:41:47.639598,2014-03-31 20:41:47.639598,,,,
8226,1635,UAZ,39095,,,f,2014-03-31 20:41:47.644035,2014-03-31 20:41:47.644035,,,,
8227,1635,UAZ,3962,,,f,2014-03-31 20:41:47.64841,2014-03-31 20:41:47.64841,,,,
8228,1635,UAZ,450,,,f,2014-03-31 20:41:47.652879,2014-03-31 20:41:47.652879,,,,
8229,1635,UAZ,451,,,f,2014-03-31 20:41:47.657293,2014-03-31 20:41:47.657293,,,,
8230,1635,UAZ,452,,,f,2014-03-31 20:41:47.661781,2014-03-31 20:41:47.661781,,,,
8231,1635,UAZ,469,,,f,2014-03-31 20:41:47.666151,2014-03-31 20:41:47.666151,,,,
8232,1635,UAZ,Cargo,,,f,2014-03-31 20:41:47.670531,2014-03-31 20:41:47.670531,,,,
8233,1635,UAZ,Hunter,,,f,2014-03-31 20:41:47.674946,2014-03-31 20:41:47.674946,,,,
8234,1635,UAZ,Patriot,,,f,2014-03-31 20:41:47.679435,2014-03-31 20:41:47.679435,,,,
